Paper_ID,Initials (of screener),Include/Exclude,Inconclusive Note,Exclusion T0: CalCOFI Report,Exclusion T1: Not a target marine species,Exclusion T2: Outdated (older than 1900),Exclusion T3: Not a poleward movement,Exclusion T3: Not in California (at least partially),Latin name,Species reference,Common name,Taxanomic rank,Life stage (verbatim),Planktonic Larval Duration (PLD),Spawn Season,Observation location (verbatim),Latitude (verbatim),Longitude (verbatim),lat_for_plot,Lat for plot origin,lon_for_plot,Lon for plot origin,Year,Month,Day,Time,Historical northern range edge (verbatim),Historical northern range edge reference (if not the paper),Screening Notes
1,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
2,JKS,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
3,JKS,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
4,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
5,JKS,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
6,JKS,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
7,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
8,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
9,JKS,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
10,JKS,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
11,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
12,JKS,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
13,JKS,Include,,,,,,,Portunus xantusii,,Xantus Swimming Crab,Species,adult,45 days,,"Tomales Bay, CA","38°13'42.1""N","122°58'18.2""W",38.22836,Paper,-122.97186,Paper,2016,11,22,,370 km northward range expansion,,
14,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
15,JKS,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
16,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
17,BGL,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
18,EJW,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
19,EJW,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
20,TVT,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Hemus finneganae,"Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854",,Species,"2 males, 3 ovigerous females",,,Puertecitos. BC,,,,,,,1958,April-May,,,"about 135 km north along the east coast of the BC peninsula, From Ángel de la Guarda Island, BC, and Puerto San Carlos. SON, GC, México, to Santa Elena bay. Ecuador, including the Revillagigedo islands (Garth, 1958)","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Microphrys platysoma,"Stimpson, 1860",,Species,"1 male, 3 females (1 ovigerous)",,,Puertecitos. BC,,,,,,,1986,May-June,,,"about 135 km north of its previous northernmost limit along the east coast of the BC peninsula, From Puerto Penasco, SON, and Peurto Refugio, Angel de la Guarda Island, BC, GC, Mexico, to Santa Elena Point, Ecuador, including Socorro Island (Garth 1958, Vogel 1966)","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854, Vogel, B. R. 1966. A report on a collection of crabs from the Gulf of California. Southwest. Nat., 11(1):139-140",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Eriphia squamata,"Stimpson, 1859",,Species,1 female,,,"La Bajada Beach, Tortugas Bay, BCS",,,,,,,1993,October,15,,"about 370 km north of its previous northernmost limit on the west coast of the BC peninsula, From Puerto Penasco, SON, and San Felipe, BC, GC, Mexico, to Las Vacas near Capon, Peru; west coast of BC peninsula to San Juanico Bay, BCS","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854, Garth, J.S. 1960. Distribution and affinities of the brachyuran Crustacea. (Symposium: The biogeography of Baja California and adjacent sea. Part II. Marine biotas.) Syst. Zool., 9:105-123.",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Xanthodius sternberghii,"Stimpson, 1859",,Species,"2 males, 2 females",,,"San Felipe and vicinity, BC",,,,,,,1988-1995,,,,"about 600 km north along the east coast of the BC peninsula, From Puerto Lobos, Guaymas, SON, and Mulege, BCS, GC, to Isla Maria Madre, off Nayarit, and west coast of BC peninsula to Magdalena Bay, BCS, Mexico","Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Xanthodius sternberghii,"Stimpson, 1859",,Species,"2 males, 3 females",,,Puertecitos. BC,,,,,,,1989,July-September,,,"about 600 km north along the east coast of the BC peninsula, From Puerto Lobos, Guaymas, SON, and Mulege, BCS, GC, to Isla Maria Madre, off Nayarit, and west coast of BC peninsula to Magdalena Bay, BCS, Mexico","Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Uca princeps princeps,"Smith, 1870",,Species,"10 males, 10 females",,,"Laguna Percebu, San Felipe, BC",,,,,,,1995,July-August,,,"about 390 km north of its previous northernmost limit in the GC, From Rasa Island (GC) and west coast of BC peninsula at Tortugas Bay, BCS (= Bartolome Bay), Mexico, to Zamurilla River, Peru","Crane, J. 1975, Fiddler Crabs of the World. Ocypodidae: Genus Uca. Princeton Univ. Press, Princeton, New Jersey, 736 pp., Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150",
21,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Euphylax robustus,"A. Milne-Edwards, 1874",,Species,"1 male, La Bajada Beach, Tortugas Bay, BCS",,,"Laguna Percebu, San Felipe, BC",,,,,,,1993,October,,,"first record of this species on the west coast of the BC peninsula, From Santa Clara, SON (GC), Mexico, to Paita, Peru","Garth, J.S. and Stephenson, W., 1966. Brachyura of the Pacific coast of America. Brachyrhyncha: Portunidae. Allan Hancock Monog. Mar. Biol., 1:1-154., Brusca, R.C. 1980. Common Intertidal Invertebrates of the Gulf of California. Univ. Arizona Press, Tucson, 513 pp.",
22,BGL,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
23,TVT,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
24,TVT,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
25,TVT,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
26,TVT,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
27,TVT,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
28,TVT,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
29,EJW,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
30,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
31,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
32,EJW,Exclude,These are in Baja only - JKS,,,,,TRUE,Atlanta oligogyra,"Tesch, 1906",,Species,shell,,,"~ 31 degrees north (IPN-CICIMAR, BIPOCO1407 sta. 103.3.40; 30 degrees 46' 51.5634""N, 117 degrees 4' 40.8""W","30 degrees 46' 51.5634""N","117 degrees 4' 40.8""W",,,,,,,,,"northernmost records in the east Pacific for this species before this study was in the Gulf of Tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (Angulo-Campillo et al. 2011), Mexico., Cosmopolitan in tropical to subtropical waters, to 31 degrees north in the Pacific. Common to abundant.","Moreno-Alcantara et al. 2014. Holoplanktonic molluscs (Gastropoda: Pterotracheoidea, Thecosomata and Gymnosomata) from the southern Mexican Pacific. Journal of Molluscan Studies, 80, 131-138., Angulo-Campillo et al. 2011. Holoplanktonic mollusks (Mollusca: Gastropoda) from the Gulf of California, Mexico, Check List, 7, 337-342.",
32,EJW,Inconclusive,no date - JKS,,,,,,Protatlanta souleyeti,"Smith, 1888",,Species,shell,,,"the specimen used to determine this range extension was recorded off Oregon, USA (USNM 331110). Several specimens were observed in samples from off Baja California Peninsula (IPN-CICIMAR BIPOCO1407 cruise",,,,,,,,,,,"northernmost records in the east Pacific for this species before this study was in the Gulf of tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (angulo-Campillo et al. 2011), Mexico. Cosmopolitan in tropical to subtropical waters, to ~46 degrees N, in the east Pacific. Uncommon.",Moreno-Alcantara et al. 2014. Angulo-Campillo et al. 2011.,
33,EJW,Inconclusive,can't find paper; I think the data was included in sanford et al 2019 - JKS,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EJW,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
35,EJW,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
36,EJW,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
37,EJW,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,"While this paper says that poleward expansions have possibly occured in the distributions of the species it covers, it also discusses that these are rarely observed species found to be spreading/introduced throughout the world's oceans and that some of the species previously believed to be invasives from elsewhere are in fact endemic species that were previously undiscribed, I would leave this paper out because it is underterminable from the evidence provided in this paper whether any true range extension into or out of California has occured. "
38,EJW,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
39,EJW,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
40,AF,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
41,AF,Inconclusive,Cites Pearcy 2002 as ref for range shift; use that paper instead,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AF,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
43,AF,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
44,AF,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
45,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
46,JKS,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,La Jolla,31.87,,31.87,Paper,,,1957,"June-July, October, December",,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1958,April,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,San Pedro,33.8,,33.8,Paper,,,1959,"January-March, December",,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1960,January ,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1969,December,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1970,January-March ,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1972,December,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey,36.6,,36.6,Paper,,,1973,January-March ,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Santa Cruz Island,34,,34,Paper,,,1979,April,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Point Dume,34,,34,Paper,,,1980,February,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,San Nicolas Island,33.25,,33.25,Paper,,,1982,December,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,San Nicolas Island,33.25,,33.25,Paper,,,1983,July,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,San Nicolas Island,33.25,,33.25,Paper,,,1983,July,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Duxbury Reef,37.902138,,37.902138,Paper,,,1985,January,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
47,JKS,Include,,,,,,,Pleuroncodes planipes,,pelagic red crab,Species,,,winter/spring,Monterey Bay,36.6,,36.6,Paper,,,1997,,,,southwest coast of the Baja California peninsula,,"the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage."
