Paper_ID,DOI,Article Title,Forward Search Paper_ID,First Author,Year,,Please enter relevant papers you find referenced in the Full Search papers here for later review
376,https://doi.org/10.1038/s41598-019-40784-3,Widespread shifts in the coastal biota of northern California during the 2014–2016 marine heatwaves,47,Sanford,2019,,
377,https://doi.org/10.1029/JC092iC13p14417,Changes in the marine biota coincident with the 1982–1983 El Niño in the northeastern Subarctic Pacific Ocean,376,Pearcy,1987,,
378,https://doi.org/10.1111/j.1365-2419.2005.00347.x,Changes in marine faunal distributions and ENSO events in the California Current,376,Lluch-Belda,2005,,
379,https://doi.org/10.1186/s41200-019-0171-8,Shifts in the distribution and abundance of coastal marine species along the eastern Pacific Ocean during marine heatwaves from 2013 to 2018,47,Lonhart,2019,,
380,https://doi.org/10.1146/annurev.ecolsys.37.091305.110149,Living on the edge of two changing worlds: forecasting the responses of rocky intertidal ecosystems to climate change,49,Helmuth,2006,,
381,https://doi.org/10.3354/meps11431,"Biological and physical ocean indicators predict the success of an invasive crab, Carcinus maenas, in the northern California Current.",174,Yamada,2015,,
382,https://meetings.pices.int/publications/pices-press/volume14/issue2/July14_2.pdf#page=26,"Unusual invertebrates and fish observed in the Gulf of Alaska, 2004–2005",165,Wing,2006,,
383,https://doi.org/10.1016/j.pocean.2020.102424,An unusual gelatinous plankton event in the NE Pacific: the great pyrosome bloom of 2017,164,Brodeur,2018,,
384,https://doi.org/10.1016/S0967-0645(03)00132-2,Long-term changes in pelagic tunicates of the California Current,223,Lavaniegos,2003,,
385,https://doi.org/10.1038/nclimate1958,Global imprint of climate change on marine life,225,Poloczanska,2013,,
386,,Effects of the 1983 El Niño on coastal nekton off Oregon and Washington,377,"W. Pearcy, J. Fisher, R !Jrodeur, and S. Johnson OSU",1985,,
387,,Marine nekton off Oregon and the 1997–98 El Niño. Prog Oceanogr 54:399–403,376,Pearcy WG ,2002,,
388,https://ia601705.us.archive.org/33/items/californiafishgv22ncali/californiafishgv22ncali.pdf,"""Commercial use of the jumbo squid, Dosidicus gigas"" California Fish and Game, 22 (1936), pp. 143-144",387,"F.N. Clarke, J.B. Phillips ",1936,,
389,https://doi.org/10.1186/s41200-018-0156-z,"First record of the predatory snail Acanthinucella spirata (Blainville, 1832) north of its known range",376,Flagor,2018,,
390,https://doi.org/10.1046/j.1365-2699.2003.00899.x,"The limits to biogeographical distributions: insights from the northward range extension of the marine snail, Kelletia kelletii",379,Zacherl,2003,,
391,,"An annotated species list of the benthic algae and invertebrates in the kelp forest community at Point Cabrillo, Pacific Grove, California",390/303,Pearse,1974,,
392,,The cirripedia of the Bodega Bay region and their distribution,70,unkown,unknown,,
393,,The first specimens of Humboldt squid in British Columbia ,95,JA Cosgrove,2005,,
394,https://doi.org/10.1016/S0079-6611(02)00060-5,Marine nekton off Oregon and the 1997–98 El Niño,95,Pearcy,2002,,
395,https://doi.org/10.1029/2006GL026614,"Anomalous pelagic nekton abundance, distribution, and apparent recruitment in the northern California Current in 2004 and 2005",95,Brodeur,2006,,
396,https://doi.org/10.1126/science.1060102,Climate-driven range expansion and morphological evolution in a marine gastropod.,161,Hellberg,2001,,
397,https://doi.org/10.1098/rspb.2014.0846,The tropicalization of temperate marine ecosystems: climate-mediated changes in herbivory and community phase shifts,256,Vergés,2014,,
398,https://doi.org/10.1146/annurev-marine-010419-010916,Climate-Driven Shifts in Marine Species Ranges: Scaling from Organisms to Communities,256,Pinsky,2019,,
399,https://www.biodiversitylibrary.org/page/42408251#page/126/mode/1up,Range extension of Kelletia kelletii (Herrlinger 1981),256,Herrlinger,1981,,
400,10.1016/j.dsr2.2012.06.005,Behavioral ecology of jumbo squid (Dosidicus gigas) in relation to oxygen minimum zones.,195,Stewart,2013,,
401,https://dn721404.ca.archive.org/0/items/californiafishgv23ncalib/californiafishgv23ncalib.pdf,"Further notes on the jumbo squid, Dosidicus gigas, RS Croker 1937",195,Croker,1937,,
402,,The “odd fish”: unusual occurrences of marine life as indicators of changing ocean conditions.,195,Mearns,1988,,
403,https://doi.org/10.1007/s00227-011-1786-4,Preying on commercial fisheries and accumulating paralytic shellfish toxins: a dietary analysis of invasive Dosidicus gigas (Cephalopoda Ommastrephidae) stranded in Pacific Canada,195,Braid,2012,,
404, 10.3354/meps10022,Marine predator migration during range expansion: Humboldt squid Dosidicus gigas in the northern California Current System,195,Stewart,2012,,
405,https://elischolar.library.yale.edu/journal_of_marine_research/682/,Changes in the fish fauna of western North America correlated with changes in ocean temperature,378,Hubbs,1948,,
406,,Relationship of Some Marine Organisms of the Northeast Pacific to water temperatures particularly during 1957 through 1959,378,Radovich,1961,,
407,10.1139/f71-276,Geographic distribution and relative abundance of Salpidae off the Oregon coast. J. Fish. Res. Bd. Can. 28: 1831–1836.,378,Hubbard and Pearcy,1971,,
408,,"Records and sightings of fish and invertebrates in the eastern Gulf of Alaska and oceanic phenomena related to the 1983 El Niño event. In: El Niño North: Niño Effects in the Eastern Subarctic Pacific Ocean. W.S. Wooster & D.L. Fluharty (eds) Seattle: Washington Sea Grant Program, pp. 253–267.",378,"Karinen, J.F., Wing, B.L. and Straty, R.R",1985,,
409,,"Biological anomalies off Washington in 1982–83 and major El Niño periods. In: El Niño North: Niño Effects in the Eastern Subarctic Pacific Ocean. W.S. Wooster & D.L. Fluharty (eds) Seattle: Washington Sea Grant Program, pp. 211–225.",378,"Schoener, A. and Fluharty, D.L.",1985,,
