"paper_id","forward_backward","screener_initials","include_exclude","inconclusive_note","exclude_t0_calcofi_report","exclude_t1_not_marine_species","exclude_t2_outdated_pre1900","exclude_t3_not_poleward","exclude_t3_not_in_BC_CA_OR_WA","exclude_t4_not_in_temperate_enpacific","latin_name","species_reference","common_name","taxonomic_rank","life_stage_verbatim","observation_location_verbatim","latitude_verbatim","longitude_verbatim","latitude","latitude_reference","longitude","longitude_reference","year","month","day","time","historical_north_range_verbatim_archived","historical_north_range_reference_archived","screening_notes","extension_confidence_criteria","NA"
1,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
2,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
3,"Forwards","JKS","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
4,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
5,"Forwards","JKS","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
6,"Forwards","JKS","Exclude","",NA,NA,NA,"",TRUE,"TRUE","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
7,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
8,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
9,"Forwards","JKS","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
10,"Forwards","JKS","Inconclusive","Appears to be shift from Gulf of CA out instead of poleward; also no date marked",NA,NA,NA,"",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
11,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
12,"Forwards","JKS","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
13,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Portunus xantusii","","Xantus Swimming Crab","Species","adult","Tomales Bay, CA","38°13'42.1""N","122°58'18.2""W",38.22836,"Paper","-122.97186","Paper","2016","11","22",NA,"370 km northward range expansion","","","Long-term monitoring site","Include"
14,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
15,"Forwards","JKS","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
