"latin_name","hist_range_lat","resource"
"Acanthinucella spirata",47.72,"Field Guid to Pacific Coast Shells"
"Anteaeolidiella oliviae",37.89,"Sanford et al. 2019; Gosliner and Williams 1970"
"Anthopleura sola",37.5,"Intertidal Invertebrates from Central CA to OR"
"Aplysia californica",34.5,"Intertidal Invertebrates from Central CA to OR"
"Aplysia vaccaria",36.78,"Intertidal Invertebrates from Central CA to OR"
"Arbacia stellata",22.8,"Intertidal Invertebrates from Central CA to OR"
"Argonauta argo",34.5,"American seashells"
"Berthella strongi",37.53,"Sanford et al. 2019; Bertsch et al. 1972"
"Calanus minor",34.5,"CalCOFI 1987"
"Candacia curta",34.5,"CalCOFI 1987"
"Centropages bradyi",34.5,"Keister et al. 2005"
"Cestum veneris",34.5,"Intertidal Invertebrates from Central CA to OR"
"Chrysaora colorata",34.5,"Intertidal Invertebrates from Central CA to OR"
"Creseis virgula",34.5,"Pacific Coast Pelagic Invertebrates"
"Crucigera websteri",33.475,"Bastida-Zavala et al. 2017"
"Doliolum denticulatum",34.5,"CalCOFI 1960"
"Doriopsilla albopunctata",39.31,"Sanford et al. 2019; Goddard et al. 2016"
"Doriopsilla fulva",33.74,"Sanford et al. 2019; Jaeckle 1984"
"Dosidicus gigas",32.5,"Marine Organisms as Indicators"
"Emerita analoga",32.67,"Marine Organisms as Indicators"
"Eucidaris thouarsii",22.8,"Intertidal Invertebrates from Central CA to OR"
"Euphausia eximia",32.5,"CalCOFI 1960"
"Euphausia mutica",34.5,"Keister et al. 2005; Brinton 1962; Brinton & Townsend 2003"
"Euphausia recurva",34.5,"Keister et al. 2005; Brinton 1962; Brinton & Townsend 2003"
"Euphylax dovii",32.5,"Marine Organisms as Indicators"
"Eurypon reiswigi",32.5,"Ott et al. 2024"
"Eurypon scruposus",32.5,"Ott et al. 2024"
"Helicosalpa virgula",32.5,"Pacific Coast Pelagic Invertebrates"
"Hespererato vitellina",38.312,"American seashells"
"Hippopodius hippopus",34.5,"Sanford et al. 2019; Haddock and Case 1999"
"Hyalocylis striata",34.5,"Intertidal Invertebrates from Central CA to OR"
"Hydroides elegans",34.5,"Intertidal Invertebrates from Central CA to OR"
"Hydroides gracilis",36.78,"Intertidal Invertebrates from Central CA to OR"
"Janolus barbarensis",37.5,"Sanford et al. 2019; Goddard et al. 2016; Jaeckle 1983"
"Kelletia kelletii",34.39,"Field Guid to Pacific Coast Shells"
"Lissothuria nutriens",36.78,"Intertidal Invertebrates from Central CA to OR"
"Loligo opalescens",32.67,"Marine Organisms as Indicators"
"Lophogorgia chiliensis",32.5,"Marine Organisms as Indicators"
"Lovenia cordiformis",34.5,"Intertidal Invertebrates from Central CA to OR"
"Lyropectin subnudosus",22.8,"Field Guid to Pacific Coast Shells"
"Lytechinus pictus",34.5,"Intertidal Invertebrates from Central CA to OR"
"Malacoplax californiensis",35.3,"Checklist of brachyuran crabs (Crustacea: Decapoda) from the eastern tropical Pacific"
"Megabalanus californicus",36.78,"Intertidal Invertebrates from Central CA to OR"
"Mexacanthina lugubris",31.8,"Fenberg et al. 2017"
"Neolithodes diomedeae",35.41,"Checklist of anomuran crabs (Crustacea: Decapoda) from the eastern tropical Pacific"
"Nyctiphanes simplex",32.5,"Intertidal Invertebrates from Central CA to OR"
"Oceanapia flava",22.8,"Ott et al. 2024"
"Oceanapia polytuba",22.8,"Ott et al. 2024"
"Okenia angelensis",37.5,"Intertidal Invertebrates from Central CA to OR"
"Ophiothrix spiculata",37.69,"Sanford et al. 2019; Morris et al. 1980"
"Pachythyone rubra",36.78,"Intertidal Invertebrates from Central CA to OR"
"Panulirus gracilis",32.5,"Marine Organisms as Indicators"
"Panulirus interruptus",34.5,"Sanford et al. 2019; Ricketts and Calvin 1968"
"Paraconcavus pacificus",36.78,"Intertidal Invertebrates from Central CA to OR"
"Petrolisthes manimaculis",41.05,"Sanford et al. 2019; Jensen 1995; Morris et al. 1980"
"Phidiana hiltoni",37.89,"Sanford et al. 2019; Goddard et al. 2011"
"Physophora hydrostatica",36.78,"Sanford et al. 2019"
"Pleuroncodes planipes",32.5,"Intertidal Invertebrates from Central CA to OR"
"Portunus xantusii",34.5,"Intertidal Invertebrates from Central CA to OR"
"Pyrosoma atlanticum",40,"Pacific Coast Pelagic Invertebrates"
"Rhincalanus nasutus",34.5,"CalCOFI 1987"
"Sagitta pseudoserratodentata",42,"Keister et al. 2005; Bieri 1959; Alvariño 1965"
"Scoelcithrix danae",34.5,"CalCOFI 1987"
"Thylacodes squamigerus",34.5,"Intertidal Invertebrates from Central CA to OR"
"Spirobranchs spinosus",36,"sealifebase"
"Tetraclita rubescens",37.5,"Intertidal Invertebrates from Central CA to OR"
"Thalia democratica",35,"Hubbard and Pearcy 1971"
"Thetys vagina",42,"Intertidal Invertebrates from Central CA to OR"
"Uca princeps",22.8,"Checklist of brachyuran crabs (Crustacea: Decapoda) from the eastern tropical Pacific"
"Velella velella",34.5,"Pacific Coast Pelagic Invertebrates"
