"paper_id","forward_backward","screener_initials","include_exclude","inconclusive_note","exclude_t0_calcofi_report","exclude_t1_not_marine_species","exclude_t2_outdated_pre1900","exclude_t3_not_poleward","exclude_t3_not_in_california","latin_name","species_reference","common_name","taxonomic_rank","life_stage_verbatim","observation_location_verbatim","latitude_verbatim","longitude_verbatim","latitude","latitude_reference","longitude","longitude_reference","year","month","day","time","historical_north_range_verbatim_archived","historical_north_range_reference_archived","screening_notes","extension_confidence_criteria"
1,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
2,"Forwards","JKS","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
3,"Forwards","JKS","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
4,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
5,"Forwards","JKS","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
6,"Forwards","JKS","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
7,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
8,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
9,"Forwards","JKS","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
10,"Forwards","JKS","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
11,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
12,"Forwards","JKS","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
13,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Portunus xantusii","","Xantus Swimming Crab","Species","adult","Tomales Bay, CA","38°13'42.1""N","122°58'18.2""W",38.22836,"Paper",-122.97186,"Paper","2016","11","22",NA,"370 km northward range expansion","","","Long-term monitoring site"
14,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
15,"Forwards","JKS","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
16,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
17,"Forwards","BGL","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
18,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
19,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
20,"Forwards","TVT","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Hemus finneganae","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854","","Species","2 males, 3 ovigerous females","Puertecitos. BC","","",NA,"",NA,"","1958","April-May","",NA,"about 135 km north along the east coast of the BC peninsula, From Ángel de la Guarda Island, BC, and Puerto San Carlos. SON, GC, México, to Santa Elena bay. Ecuador, including the Revillagigedo islands (Garth, 1958)","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854","",""
