"","latin_name","taxonomic_rank","common_name","latitude","latitude_location","longitude","longitude_location","year","month","day","source","latin_name_original","hist_range_lat"
"1","Doliolum denticulatum","Species",NA,34.46,"Online search",-120.49,"Online search",1957,"October",NA,"ca_rev","Doliolum denticulatum",34.5
"2","Pleuroncodes planipes","Species","pelagic red crab",33.74,"Online search",-118.297697,"Online search",1957,"December",NA,"ca_rev","Pleuroncodes planipes",32.5
"3","Pleuroncodes planipes","Species","pelagic red crab",32.839,"Online search",-117.416177,"Online search",1957,"December",NA,"ca_rev","Pleuroncodes planipes",32.5
"4","Doliolum denticulatum","Species",NA,38,"Figure",-123.5,"Online search",1969,"January","29","ca_rev","Doliolum denticulatum",34.5
"5","Nyctiphanes simplex","Species","euphausiid",40,"Text",-124.184758,"Online search",1958,"February",NA,"ca_rev","Nyctiphanes simplex",32.5
"6","Euphausia eximia","Species",NA,32.77,"Online search",-117.348996,"Online search",1978,"March",NA,"ca_rev","Euphausia eximia",32.5
"7","Pleuroncodes planipes","Species",NA,33.566,"Online search",-118.884083,"Online search",1982,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"8","Scoelcithrix danae","Species",NA,34.28,"Figure",-120.29,"Figure",1958,"March","30","ca_rev","Scoelcithrix danae",34.5
"9","Pleuroncodes planipes","Species","pelagic red crab",33.73,"Online search",-118.409191,"Online search",1984,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"10","Velella","Genus",NA,48.59,"Text",-124.990973,"Text",1926,NA,NA,"ca_rev","Velella sp.",34.5
"11","Pleuroncodes planipes","Species","pelagic red crab",32.69,"Text",-117.36,"Text",1941,"March",NA,"ca_rev","Pleuroncodes planipes",32.5
"12","Dosidicus gigas","Species","humboldt squid",54.67,"Text",-132.041327,"Text",2003,NA,NA,"ca_rev","Dosidicus gigas",32.5
"13","Dosidicus gigas","Species","humboldt squid or jumbo flying squid",46.1667,"Figure",-124.286333,"Figure",2009,"September","18","ca_rev","Dosidicus gigas",32.5
"14","Pleuroncodes planipes","Species","pelagic red crab",36,"Text",-121.6,"Text",2015,"May",NA,"ca_rev","Pleuroncodes planipes",32.5
"15","Pleuroncodes planipes","Species","pelagic red crab",34.69,"Online search",-120.757882,"Online search",2015,"January",NA,"ca_rev","Pleuroncodes planipes",32.5
"16","Pleuroncodes planipes","Species","red crabs",32.539285,"Online search",-117.129169,"Online search",2015,"January",NA,"ca_rev","Pleuroncodes planipes",32.5
"17","Pleuroncodes planipes","Species","red or tuna crab",32.533,"Online search",-117.35,"Online search",2014,"July","29","ca_rev","Pleuroncodes planipes",32.5
"18","Pleuroncodes planipes","Species","red crab",37.76687,"Online search",-123.08237,"Online search",2015,"September",NA,"ca_rev","Pleuroncodes planipes",32.5
"19","Pleuroncodes planipes","Species","pelagic red crab",32.95,"Figure",-117.28,"Online search",2015,"May",NA,"ca_rev","Pleuroncodes planipes",32.5
"20","Panulirus interruptus","Species","california spiny lobster (phyllosoma)",38.4,"Figure",-123.2,"Online search",2005,NA,NA,"ca_rev","Panulirus interruptus",34.5
"21","Pleuroncodes planipes","Species","pelagic red crab",36.4,"Online search",-121.98,"Online search",2015,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"22","Nyctiphanes simplex","Species",NA,41,"Text",-124.26,"Online search",2019,"April",NA,"ca_rev","Nyctiphanes simplex",32.5
"23","Velella","Genus","by-the-wind sailors",54.7,"Online search",-132.041327,"Online search",1957,NA,NA,"ca_rev","Velella sp.",34.5
"24","Nyctiphanes simplex","Species",NA,38,"Text",-122.9,"Online search",1958,"April",NA,"ca_rev","Nyctiphanes simplex",32.5
"25","Euphausia eximia","Species",NA,34.4208,"Figure",-119.7,"Figure",1958,"February","24","ca_rev","Euphausia eximia",32.5
"26","Doliolum denticulatum","Species","salp",34.453,"Figure",-120.520075,"Figure",1969,"January","30","ca_rev","Doliolum denticulatum",34.5
"27","Pyrosoma","Genus","pyrosome",41.8,"Text",-124.27,"Online search",2020,"September",NA,"ca_rev","Pyrosoma sp.",40
"28","Nyctiphanes simplex","Species",NA,41.0518,"Online search",-124.1514,"Online search",2018,"December",NA,"ca_rev","Nyctiphanes simplex",32.5
"29","Euphausia recurva","Species",NA,41.0518,"Online search",-124.1514,"Online search",2014,NA,NA,"ca_rev","Euphausia recurva",34.5
"30","Pyrosoma","Species","Pyrosomes",44.65,"Text",-124,"Online search",2016,"fall",NA,"ca_rev","Pyrosoma atlanticum",40
"31","Velella","Species",NA,42,"Text",-124.3,"Online search",2015,NA,NA,"ca_rev","Velella velella",34.5
"32","Doliolum denticulatum","Species",NA,36.455949,"Figure",-121.969068,"Figure",1958,"April",NA,"ca_rev","Doliolum denticulatum",34.5
"33","Pleuroncodes planipes","Species","pelagic red crab",33.702963,"Online search",-118.297697,"Online search",1941,"April",NA,"ca_rev","Pleuroncodes planipes",32.5
"34","Pleuroncodes planipes","Species",NA,36.64,"Online search",-122.063636,"Online search",1958,"April",NA,"ca_rev","Pleuroncodes planipes",32.5
"35","Nyctiphanes simplex","Species",NA,36.52,"Online search",-122.084259,"Online search",1977,"December",NA,"ca_rev","Nyctiphanes simplex",32.5
"36","Calanus minor","Species",NA,40.2,"Figure",-124.3,"Figure",1958,"March","30","ca_rev","Calanus minor",34.5
"37","Dosidicus gigas","Species","humboldt squid or jumbo flying squid",46.1667,"Figure",-124.286333,"Figure",2006,"August","28","ca_rev","Dosidicus gigas",32.5
"38","Panulirus interruptus","Species","spiny lobster",36,"Text",-121.6,"Text",2015,"May",NA,"ca_rev","Panulirus interruptus",34.5
"39","Pyrosoma","Species",NA,32.95,"Online search",-117.28,"Online search",2015,"May",NA,"ca_rev","Pyrosoma atlanticum",40
"40","Panulirus interruptus","Species","california spiny lobster (phyllosoma)",38.4,"Figure",-123.2,"Online search",2015,NA,NA,"ca_rev","Panulirus interruptus",34.5
"41","Euphausia recurva","Species",NA,41,"Text",-124.26,"Online search",2019,"January",NA,"ca_rev","Euphausia recurva",34.5
"42","Nyctiphanes simplex",NA,NA,41.0518,"Online search",-124.1514,"Online search",2019,"December",NA,"ca_rev","Nyctiphanes simplex",32.5
"43","Euphausia recurva","Species",NA,41.0518,"Online search",-124.1514,"Online search",2015,NA,NA,"ca_rev","Euphausia recurva",34.5
"44","Thetys","Genus",NA,42,"Text",-124.3,"Online search",2015,NA,NA,"ca_rev","Thetys",42
"45","Pleuroncodes planipes","Species",NA,32.69,"Online search",-117.368929,"Online search",1958,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"46","Rhincalanus nasutus","Species",NA,40.2,"Figure",-124.3,"Figure",1958,"March","30","ca_rev","Rhincalanus nasutus",34.5
