"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MLFR4CI6","document","","","[No title found]","","","","","","","","2025-02-21 22:43:35","2025-02-21 22:43:35","","","","","","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DG32ANMB","journalArticle","2001","Forsyth, Robert G.","New records for land snails from the mountains of northwestern British Columbia","The Canadian field-naturalist","","0008-3550","10.5962/p.363781","https://www.biodiversitylibrary.org/part/363781","","2001","2025-02-21 22:43:36","2025-02-21 22:43:36","2025-02-21 22:43:36","223-228","","2","115","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/ACV65UME/New records for land snails from the mountains of - Forsyth - 2001.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9K89T27Y","journalArticle","2011","Xiang, Xian-ling; Xi, Yi-long; Wen, Xin-li; Zhang, Gen; Wang, Jin-xia; Hu, Ke","Patterns and processes in the genetic differentiation of the Brachionus calyciflorus complex, a passively dispersing freshwater zooplankton","Molecular Phylogenetics and Evolution","","10557903","10.1016/j.ympev.2011.02.011","https://linkinghub.elsevier.com/retrieve/pii/S1055790311000492","","2011-05","2025-02-21 22:43:56","2025-02-21 22:43:56","2025-02-21 22:43:56","386-398","","2","59","","Molecular Phylogenetics and Evolution","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAINHTIK","journalArticle","2016","Ashton, G. V.; Davidson, I. C.; Geller, J.; Ruiz, G. M.","Disentangling the biogeography of ship biofouling: barnacles in the Northeast Pacific","Global Ecology and Biogeography","","1466-822X, 1466-8238","10.1111/geb.12450","https://onlinelibrary.wiley.com/doi/10.1111/geb.12450","Abstract                            Aim               The movement of biofouling organisms by ships results in the transfer of marine species across biogeographical boundaries on a global scale. We used barnacles, a relatively well‐studied taxon, to investigate the extent to which modern commercial vessels disperse biofouling species beyond their current known ranges.                                         Location               Vessels predominantly operated in the North Pacific; sampling was conducted in Los Angeles (CA), Portland (OR), Ketchikan (AK) and Apra Harbor (GU).                                         Methods               Barnacles were collected from submerged surfaces of commercial vessel hulls and identified to the lowest taxonomic unit using a combination of taxonomic and molecular phylogenetic techniques. Their known native and non‐native geographical ranges were assessed and compared with the voyage history of the vessels.                                         Results               Forty distinct taxonomic groups of barnacles (22 assigned to species) were detected from 15 vessels. Six of these recognized species have a world‐wide distribution, due to natural and anthropogenic dispersal. Sixteen species were on vessels with voyage routes that extend beyond the barnacles' known distributions, including 12 species sampled outside of their known range.                                         Main conclusions               A diverse suite of barnacle species is in continuous motion globally on commercial vessel hulls, and the potential scale of this transfer is underscored by the documented species richness for ship biofouling and what is known about the global fleet of vessels. We estimate roughly 680,000 separate arrival events per year for barnacle species to US ports distributed on both Atlantic and Pacific coasts. Genetic methods revealed high richness compared with previous studies, and the real rate is likely to be much higher than this because (1) it is likely that not all species on a vessel were sampled and (2) only a subset of sampled barnacles were successfully sequenced. Our limited knowledge about the total species pool in flux on ship hulls around the globe constrains our ability to analyse and interpret processes affecting species distribution patterns in the Anthropocene.","2016-06","2025-02-21 22:43:57","2025-02-21 22:43:57","2025-02-21 22:43:57","739-750","","6","25","","Global Ecol. Biogeogr.","Disentangling the biogeography of ship biofouling","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVAX2IAD","journalArticle","2004","Zigler, Kirk S.; Lessios, H. A.","SPECIATION ON THE COASTS OF THE NEW WORLD: PHYLOGEOGRAPHY AND THE EVOLUTION OF BINDIN IN THE SEA URCHIN GENUS LYTECHINUS","Evolution","","0014-3820","10.1554/03-431","http://www.bioone.org/perlserv/?request=get-abstract&doi=10.1554%2F03-431","","2004","2025-02-21 22:43:58","2025-02-21 22:43:58","2025-02-21 22:43:58","1225","","6","58","","Evol","SPECIATION ON THE COASTS OF THE NEW WORLD","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9HQZJLC","journalArticle","2023","Preti, Antonella; Stohs, Stephen M.; DiNardo, Gerard T.; Saavedra, Camilo; MacKenzie, Ken; Noble, Leslie R.; Jones, Catherine S.; Pierce, Graham J.","Feeding ecology of broadbill swordfish (Xiphias gladius) in the California current","PLOS ONE","","1932-6203","10.1371/journal.pone.0258011","https://dx.plos.org/10.1371/journal.pone.0258011","The feeding ecology of broadbill swordfish (               Xiphias gladius               ) in the California Current was described based on analysis of stomach contents collected by fishery observers aboard commercial drift gillnet boats from 2007 to 2014. Prey were identified to the lowest taxonomic level and diet composition was analyzed using univariate and multivariate methods. Of 299 swordfish sampled (74 to 245 cm eye-to-fork length), 292 non-empty stomachs contained remains from 60 prey taxa. Genetic analyses were used to identify prey that could not be identified visually. Diet consisted mainly of cephalopods but also included epipelagic and mesopelagic teleosts. Jumbo squid (               Dosidicus gigas               ) and               Gonatopsis borealis               were the most important prey based on the geometric index of importance. Swordfish diet varied with body size, location and year. Jumbo squid,               Gonatus               spp. and Pacific hake (               Merluccius productus               ) were more important for larger swordfish, reflecting the ability of larger specimens to catch large prey. Jumbo squid,               Gonatus               spp. and market squid (               Doryteuthis opalescens               ) were more important in inshore waters, while               G               .               borealis               and Pacific hake predominated offshore. Jumbo squid was more important in 2007–2010 than in 2011–2014, with Pacific hake being the most important prey item in the latter period. Diet variation by area and year probably reflects differences in swordfish preference, prey availability, prey distribution, and prey abundance. The range expansion of jumbo squid that occurred during the first decade of this century may particularly explain their prominence in swordfish diet during 2007–2010. Some factors (swordfish size, area, time period, sea surface temperature) that may influence dietary variation in swordfish were identified. Standardizing methods could make future studies more comparable for conservation monitoring purposes.","2023-02-16","2025-02-21 22:43:59","2025-02-21 22:43:59","2025-02-21 22:43:59","e0258011","","2","18","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/86UMSM9B/Feeding ecology of broadbill swordfish (Xiphias gl - Preti et al. - 2023.pdf","","","","Medina Guerrero, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5EJAXAN","journalArticle","2012","Grant, William Stewart; Cheng, Wei","Incorporating deep and shallow components of genetic structure into the management of Alaskan red king crab","Evolutionary Applications","","1752-4571, 1752-4571","10.1111/j.1752-4571.2012.00260.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1752-4571.2012.00260.x","Abstract                            Observed patterns of genetic variability among marine populations are shaped not only by contemporary levels of gene flow, but also by divergences during historical isolations. We examined variability at 15 SNP loci and in mtDNA sequences (COI, 665 bp) in red king crab from 17 localities in the North Pacific. These markers define three geographically distinct evolutionary lineages (SNPs,               F               CT                = 0.054; mtDNA Φ               CT                = 0.222): (i) Okhotsk Sea–Norton Sound–Aleutian Islands, (ii) southeastern Bering Sea–western Gulf of Alaska, and (iii) Southeast Alaska. Populations in the Bering Sea and in Southeast Alaska are genetically heterogeneous, but populations in the center of the range are homogeneous. Mitochondrial DNA diversity drops from               h                = 0.91 in the northwestern Pacific to               h                = 0.24 in the Southeast Alaska. Bayesian skyline plots (BSPs) indicate postglacial population expansions, presumably from ice‐age refugia. BSPs of sequences simulated under a demographic model defined by late Pleistocene temperatures failed to detect demographic variability before the last glacial maximum. These results sound a note of caution for the interpretation of BSPs. Population fragmentation in the Bering Sea and in Southeast Alaskan waters requires population management on a small geographic scale, and deep evolutionary partitions between the three geographic groups mandate regional conservation measures.","2012-12","2025-02-21 22:44:00","2025-02-21 22:44:00","2025-02-21 22:44:00","820-837","","8","5","","Evolutionary Applications","","","","","","","","en","http://creativecommons.org/licenses/by-nc/3.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/UDEARMIU/Incorporating deep and shallow components of genet - Grant and Cheng - 2012.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZ6HSZIN","journalArticle","2000","Dilling, Lisa; Alldredge, Alice L","Fragmentation of marine snow by swimming macrozooplankton: A new process impacting carbon cycling in the sea","Deep Sea Research Part I: Oceanographic Research Papers","","09670637","10.1016/S0967-0637(99)00105-3","https://linkinghub.elsevier.com/retrieve/pii/S0967063799001053","","2000-07","2025-02-21 22:44:02","2025-02-21 22:44:02","2025-02-21 22:44:02","1227-1245","","7","47","","Deep Sea Research Part I: Oceanographic Research Papers","Fragmentation of marine snow by swimming macrozooplankton","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQUS3SJ5","journalArticle","1986","","A new species of Tritonia (Nudibranchia) from southern California and Baja California","The Nautilus.","","0028-1344","10.5962/bhl.part.26492","http://www.biodiversitylibrary.org/part/26492","","1986","2025-02-21 22:44:03","2025-02-21 22:44:03","2025-02-21 22:44:03","46-49","","","100","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/FQF5776W/A new species of Tritonia (Nudibranchia) from sout - 1986.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QU2L6IFH","journalArticle","2024","Ott, B.; Mcdaniel, N.; Humphrey, E.","Fourteen new species of demosponges (Porifera) from three coastal fjords in southern British Columbia, Canada","Zootaxa","","1175-5334, 1175-5326","10.11646/zootaxa.5463.2.1","https://mapress.com/zt/article/view/zootaxa.5463.2.1","Collections of encrusting sponges from the shallow subtidal zone of three southern fjords in British Columbia, Canada, and adjacent waters provided the material for the description of 14 new species. Species represent 5 orders, 8 families and 11 genera providing a cross section of British Columbia shallow water fjord Demospongiae. New species include Eurypon reiswigi n. sp., E. scruposus n. sp., E. microtuberculatum n. sp., Hymeraphia pacifica n. sp., Hamigera bakusi n. sp., Hymedesmia (Hymedesmia) anvilensis n. sp., Hymetrochota austini n. sp., Discorhabdella atypica n. sp., Antho (Acarnia) flavoaurantiaca n. sp., Clathria (Microciona) aquaradiata n. sp., Hymeniacidon globularis n. sp., Oceanapia polytuba n. sp., O. flava n. sp., and Spongionella tenuis n. sp. Species range from uncommon to common both within and outside fjord environments. Range extensions of genera include: Eurypon, Northeast Pacific range extension from Mexico to BC; Hymeraphia, range extension to the Northeast Pacific, Hamigera, range extension to the Northeast Pacific, Hymetrochota, range extension to the Northeast Pacific and depth extension to shallow water, and Oceanapia, Northeast Pacific range extension from the Gulf of California to central BC.","2024-06-05","2025-02-21 22:44:12","2025-02-21 22:44:12","2025-02-21 22:44:12","151-200","","2","5463","","Zootaxa","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
